text,intent
BOOK TA .K(TAMAN DAYA) SDN BND    ,company
NO.53 55 57 & 59  JALAN SAGU 18     ,address
TAMAN DAYA     ,address
81100 JOHOR BAHRU     ,address
JOHOR.    ,address
25/12/2018 8:13:39 PM    ,date
9.00    ,total
9.00    ,total
9.00    ,total
INDAH GIFT & HOME DECO    ,company
27 JALAN DEDAP 13     ,address
TAMAN JOHOR JAYA     ,address
81100 JOHOR BAHRU JOHOR.    ,address
19/10/2018 20:49:59 #01    ,date
60.30    ,total
MR D.T.Y. (JOHOR) SDN BHD    ,company
LOT 1851-A & 1851-B  JALAN KPB 6     ,address
KAWASAN PERINDUSTRIAN BALAKONG     ,address
43300 SERI KEMBANGAN  SELANGOR    ,address
(MR DIY TESCO TERBAU)    ,address
12-01-19 21:13 SH01 ZK09    ,date
YONGFATT ENTERPRISE    ,company
NO 122.124 JALAN DEDAP 13    ,address
81100 JOHOR BAHRU    ,address
25/12/2018    ,date
80.90    ,total
MR D.I.Y. (M) SDN BHD    ,company
LOT 1851-A & 1851-B  JALAN KPB 6     ,address
KAWASAN PERINDUSTRIAN BALAKONG     ,address
43300 SERI KEMBANGAN  SELANGOR    ,address
(TESCO PUTRA NILAI)    ,address
18-11-18 13 : 58 SH01 ZI53    ,date
ABC HO TRADING    ,company
NO.2&4 JALAN HARMONI 3/2     ,address
TAMAN DESA HARMONI.    ,address
81100 JOHOR BAHRU JOHOR    ,address
09/01/2019 8:01:11 PM    ,date
31.00    ,total
31.00    ,total
31.00    ,total
SOON HUAT MACHINERY ENTERPRISE    ,company
NO.53 JALAN PUTRA 1     ,address
TAMAN SRIPUTRA     ,address
81200 JOHOR BAHRU    ,address
JOHOR    ,address
1    ,address
1    ,address
1    ,address
1    ,address
1    ,address
1    ,address
1    ,address
327.00    ,total
327.00    ,total
327.00    ,total
327.00    ,total
S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.    ,company
NO. 343  JALAN KURAU  SUNGAI RENGIT     ,address
81620 PENGERANG  JOHOR.    ,address
20.00    ,total
20.00    ,total
20.00    ,total
20.00    ,total
20.00    ,total
23-01-2019 13:14:15 PM  PRINT BY: ROOT    ,date
PERNIAGAAN ZHENG HUI    ,company
NO.59 JALAN PERMAS 9/5    ,address
BANDAR BARU PERMAS JAYA    ,address
81760 JOHOR BAHRU    ,address
112.45    ,total
112.45    ,total
GERBANG ALAF RESTAURANTS SDN BHD    ,company
LEVEL 6  BANGUNAN TH  DAMANSARA UPTOWN3    ,address
NO.3  JALAN SS21/39 47400 PETALING JAYA    ,address
SELANGOR    ,address
26.60    ,total
26.60    ,total
SAM SAM TRADING CO    ,company
67 JLN MEWAH 25/63 TMN SRI MUDA     ,address
40400 SHAH ALAM.    ,address
29-12-2017    ,date
AIK HUAT HARDWARE    ,company
ENTERPRISE (SETIA    ,company
ALAM) SDN BHD    ,company
NO. 17-G  JALAN SETIA INDAH    ,address
(X) U13/X  SETIA ALAM     ,address
SEKSYEN U13  40170 SHAH ALAM     ,address
15.00    ,total
15.00 S    ,total
15.00    ,total
15.00    ,total
15.00    ,total
HOME MASTER HARDWARE &    ,company
ELECTRICAL    ,company
NO.113G & 115G  JALAN SETIA GEMBILANG    ,address
U13/BG BANDAR SETIA ALAM     ,address
40170 BANDAR SETIA ALAM     ,address
SELANGOR.    ,address
22/12/2017 14:03    ,date
15.90    ,total
15.90    ,total
15.90    ,total
15.90    ,total
15.90    ,total
RESTORAN HASSANBISTRO    ,company
NO.2-1-1 JALAN SETIA PRIMA Q    ,address
U 13/Q SETIA ALAM 40170    ,address
SELANGOR    ,address
15.00    ,total
15.00    ,total
15.00 ZR    ,total
15.00    ,total
15.00    ,total
15.00    ,total
ASIA MART    ,company
NO.23 BATU 10  TAMAN SENTOSA     ,address
JALAN KAPAR  42200 KLANG  SELANGOR.    ,address
32.70    ,total
HOME MASTER HARDWARE &    ,company
ELECTRICAL    ,company
NO.113G & 115G  JALAN SETIA GEMBILANG    ,address
U13/BG BANDAR SETIA ALAM     ,address
40170 BANDAR SETIA ALAM     ,address
SELANGOR.    ,address
22/12/2017 14:03    ,date
15.90    ,total
15.90    ,total
15.90    ,total
15.90    ,total
15.90    ,total
LIGHTROOM GALLERY SDN BHD    ,company
NO: 28  JALAN ASTANA 1C     ,address
BANDAR BUKIT RAJA  41050    ,address
KLANG SELANGOR D.E  MALAYSIA    ,address
73.00    ,total
73.00    ,total
LIGHTROOM GALLERY SDN BHD    ,company
NO: 28  JALAN ASTANA 1C     ,address
BANDAR BUKIT RAJA  41050    ,address
KLANG SELANGOR D. E  MALAYSIA    ,address
39.80    ,total
39.80    ,total
LIGHTROOM GALLERY SDN BHD    ,company
NO: 28  JALAN ASTANA 1C     ,address
BANDAR BUKIT RAJA  41050    ,address
KLANG SELANGOR D.E  MALAYSIA    ,address
73.00    ,total
73.00    ,total
SHELL ISNI PETRO TRADING    ,company
LOT 2685 JLN GENTING KLANG    ,address
53300 KL    ,address
SITE 1066    ,address
86.00 A    ,total
86.00    ,total
86.00    ,total
86.00    ,total
SHELL LOYALTY CARD    ,company
18/03/18 15:17 06051 02    ,date
SYL ROASTED DELIGHTS SDN. BHD.    ,company
06/03/2018    ,date
54.50    ,total
TEO HENG STATIONERY & BOOKS    ,company
NO. 53  JALAN BESAR  45600 BATANG BERJUNTAI    ,address
SELANGOR DARUL EHSAN    ,address
4.90    ,total
4.90    ,total
FUYI MINI MARKET    ,company
NO 43-45-47G     ,address
TAMAN SEJATI     ,address
IJOK  45600 BESTARI JAYA     ,address
KUALA SELANGOR.    ,address
25/01/2018 1:22:56PM    ,date
9.00    ,total
9.00    ,total
MARKET    ,company
9.00    ,total
TEO HENG STATIONERY & BOOKS    ,company
SELANGOR DARUL EHSAN    ,address
27.55    ,total
27.55    ,total
TEO HENG STATIONERY & BOOKS    ,company
SELANGOR DARUL EHSAN    ,address
55.10    ,total
55.10    ,total
TEO HENG STATIONERY & BOOKS    ,company
SELANGOR DARUL EHSAN    ,address
18.00    ,total
18.00    ,total
NO. 53  JALAN BESAR  45600 BATANG BERJUNTAI    ,address
SELANGOR DARUL EHSAN    ,address
153.35    ,total
153.35    ,total
MR. D.I.Y. (M) SDN BHD    ,company
LOT 1851-A & 1851-B  JALAN KPB 6     ,address
KAWASAN PERINDUSTRIAN BALAKONG     ,address
43300 SERI KEMBANGAN  SELANGOR    ,address
14-03-18 21:49 SH03 ZJ20    ,date
99 SPEED MART S/B (519537-X)    ,company
LOT P.T. 2811  JALAN ANGSA     ,address
TAMAN BERKELEY    ,address
41150 KLANG  SELANGOR    ,address
1076-IJOK    ,address
24-01-18    ,date
2.50    ,total
2.50    ,total
C W KHOO HARDWARE SDN BHD    ,company
NO.50   JALAN PBS 14/11      ,address
KAWASAN PERINDUSTRIAN BUKIT SERDANG     ,address
21.20    ,total
21.20    ,total
21.20    ,total
UNIHAKKA INTERNATIONAL SDN BHD    ,company
05 MAR 2018 18:24    ,date
12  JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
TAMPOI 81200 JOHOR BAHRU JOHOR    ,address
$8.20    ,total
AEON CO. (M) BHD (126926-H)    ,address
3RD FLR  AEON TAMAN MALURI SC    ,address
JLN JEJAKA  TAMAN MALURI    ,address
CHERAS  55100 KUALA LUMPUR    ,address
75.00    ,total
75.00    ,total
75.00    ,total
06/03/2018 20:01    ,date
AEON PERMAS JAYA    ,address
UNIHAKKA INTERNATIONAL SDN BHD    ,company
03 MAR 2018 18:22    ,date
12  JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
TAMPOI 81200 JOHOR BAHRU JOHOR    ,address
$8.20    ,total
UNIHAKKA INTERNATIONAL SDN BHD    ,company
10 MAR 2018 18:24    ,date
12  JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
TAMPOI 81200 JOHOR BAHRU JOHOR    ,address
PERNIAGAAN ZHENG HUI    ,company
NO.59 JALAN PERMAS 9/5    ,address
BANDAR BARU PERMAS JAYA    ,address
81750 JOHOR BAHRU    ,address
332.30    ,total
332.30    ,total
UNIHAKKA INTERNATIONAL SDN BHD    ,company
12 MAR 2018 18:19    ,address
12  JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
